# ----------------------------------------
# Library Website
# Pages
# 20170821-20170910
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.lib.uidaho.edu/,"14,907","10,716",00:04:32,"10,390",23.84%,57.32%,$0.00
www.lib.uidaho.edu/find/,"2,010","1,378",00:00:29,207,8.42%,4.83%,$0.00
www.lib.uidaho.edu/find/articles.html,"1,568",902,00:02:11,254,15.27%,30.48%,$0.00
www.lib.uidaho.edu/services/reserve/,"1,420",778,00:00:37,427,9.60%,7.39%,$0.00
www.lib.uidaho.edu/index.html,943,609,00:05:10,140,18.38%,39.87%,$0.00
www.lib.uidaho.edu/services/,724,561,00:00:47,26,70.00%,10.36%,$0.00
www.lib.uidaho.edu/find/journals.html,648,434,00:05:00,81,2.53%,48.92%,$0.00
www.lib.uidaho.edu/special-collections/,615,332,00:02:00,214,14.47%,17.72%,$0.00
www.lib.uidaho.edu/find/books.html,585,460,00:03:57,114,7.83%,67.18%,$0.00
www.lib.uidaho.edu/collections/,573,420,00:00:32,26,19.05%,5.58%,$0.00
,"37,451","26,872",00:02:46,"16,532",33.91%,44.14%,$0.00

Day Index,Pageviews
8/21/17,"2,108"
8/22/17,"2,577"
8/23/17,"2,263"
8/24/17,"2,050"
8/25/17,"1,779"
8/26/17,771
8/27/17,"1,117"
8/28/17,"2,419"
8/29/17,"2,384"
8/30/17,"2,417"
8/31/17,"2,091"
9/1/17,"1,517"
9/2/17,536
9/3/17,745
9/4/17,973
9/5/17,"2,288"
9/6/17,"2,492"
9/7/17,"2,325"
9/8/17,"1,714"
9/9/17,"1,080"
9/10/17,"1,805"
,"37,451"
