# ----------------------------------------
# Library Website
# New vs Returning
# 20170821-20170910
# ----------------------------------------

User Type,Landing Page,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
New Visitor,www.lib.uidaho.edu/,"3,585","3,586","3,586",33.44%,2.06,00:02:29,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/,"2,749",0,"6,804",19.31%,2.29,00:04:36,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/digital/idahosnow/map2015.html,183,183,183,77.60%,1.39,00:01:23,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/find/articles.html,132,0,187,15.51%,3.03,00:03:08,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/about/hours.html,125,0,160,83.75%,1.19,00:00:18,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/about/hours.html,124,124,124,84.68%,1.33,00:00:42,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/services/reserve/,118,0,336,7.74%,4.23,00:04:45,0.00%,0,$0.00
Returning Visitor,www.lib.uidaho.edu/find/,108,0,124,5.65%,3.49,00:04:16,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/digital/campus/locations/JanssenEngineeringBuilding.html,94,94,94,80.85%,1.27,00:00:17,0.00%,0,$0.00
New Visitor,www.lib.uidaho.edu/services/reserve/,91,91,91,16.48%,3.77,00:02:19,0.00%,0,$0.00
,,"11,552","6,630","16,637",33.91%,2.25,00:03:30,0.00%,0,$0.00

Day Index,Users
8/21/17,863
8/22/17,906
8/23/17,834
8/24/17,724
8/25/17,564
8/26/17,271
8/27/17,378
8/28/17,818
8/29/17,805
8/30/17,784
8/31/17,693
9/1/17,516
9/2/17,246
9/3/17,305
9/4/17,477
9/5/17,819
9/6/17,844
9/7/17,780
9/8/17,627
9/9/17,381
9/10/17,599
,"13,234"
